"tokenID","name","description","file_name","external_url","background_color","attributes[Setting]","attributes[Weather]","attributes[Companion]","attributes[Light]","attributes[Signal]","attributes[Hour]","attributes[Mood]","attributes[Palette]","attributes[Edition]","attributes[Medium]"
11,"After Hours #11 — Steam and Street Neon","Mirror gone. The street is a pink smear through steam and an open window. After Hours is a 50-piece open edition. Token 11 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-11.png","https://afterhours.open/piece/11","100e0c","Bathroom","Steam","Windowsill plant","Pink neon","FM 79.4","12:08 AM","Fogged","Rose & slate","Open Edition","Still PNG"
12,"After Hours #12 — After Encore Booth","The song list is still lit. Nobody is brave enough for one more. After Hours is a 50-piece open edition. Token 12 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-12.png","https://afterhours.open/piece/12","100e0c","Karaoke","Clear","Two microphones","Disco ball","FM 86.2","1:44 AM","Post-chorus","Purple & gold","Open Edition","Still PNG"
13,"After Hours #13 — Second Floor Stacks","A green lamp keeping watch over towers of paper. Rain on the dormer like page turns. After Hours is a 50-piece open edition. Token 13 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-13.png","https://afterhours.open/piece/13","100e0c","Bookstore","Rain","Paperbacks","Banker's lamp","FM 90.5","10:36 PM","Bookish","Moss & parchment","Open Edition","Still PNG"
14,"After Hours #14 — Fire Escape Tea","Two cups, wet steel, and the building breathing through other people's lights. After Hours is a 50-piece open edition. Token 14 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-14.png","https://afterhours.open/piece/14","100e0c","Fire escape","Rain","Teapot","Neighbor windows","FM 81.7","12:53 AM","Between floors","Rust & night blue","Open Edition","Still PNG"
15,"After Hours #15 — Attic Frequency","Boxes of cassettes and a deck that still believes in VU meters. Moths keep the beat. After Hours is a 50-piece open edition. Token 15 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-15.png","https://afterhours.open/piece/15","100e0c","Attic","Clear","Moths","Bare bulb","AM 1134","2:31 AM","Archived","Amber & dusty lilac","Open Edition","Still PNG"
16,"After Hours #16 — Snow at the Shelter","The last bus is a rumor. Snow edits the timetable into white. After Hours is a 50-piece open edition. Token 16 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-16.png","https://afterhours.open/piece/16","100e0c","Bus stop","Snow","Forgotten scarf","Sodium lamp","FM 78.3","1:16 AM","Waiting","Ice & sodium orange","Open Edition","Still PNG"
17,"After Hours #17 — Glasshouse After Dark","Tropical leaves holding the day's heat. Condensation turning the moon into a smear. After Hours is a 50-piece open edition. Token 17 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-17.png","https://afterhours.open/piece/17","100e0c","Greenhouse","Fog","Lantern","Moon through glass","FM 84.9","11:27 PM","Humid","Emerald & lantern gold","Open Edition","Still PNG"
18,"After Hours #18 — Red Light Studio","Foam walls, a live mic, and a red lamp that forgot to go off. The mix is still warming up. After Hours is a 50-piece open edition. Token 18 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-18.png","https://afterhours.open/piece/18","100e0c","Studio","Clear","Condenser mic","On-air lamp","FM 92.4","3:02 AM","Armed","Charcoal & signal red","Open Edition","Still PNG"
19,"After Hours #19 — Instant Noodle Hour","The only recipe that still works after midnight. A tiny TV snows on the counter. After Hours is a 50-piece open edition. Token 19 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-19.png","https://afterhours.open/piece/19","100e0c","Kitchen","Steam","Ramen pot","Fridge glow","AM 954","3:00 AM","Domestic","Chili red & cream","Open Edition","Still PNG"
20,"After Hours #20 — Reserved Forever","The reading room after closing. One chair still reserved for a person who became a rumor. After Hours is a 50-piece open edition. Token 20 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-20.png","https://afterhours.open/piece/20","100e0c","Library","Clear","Empty chair","Green lamps","FM 87.0","9:40 PM","Hallowed","Oak & hunter green","Open Edition","Still PNG"
21,"After Hours #21 — Level P3 Wind","Wind across the top deck. The skyline does the talking; the car is just visiting. After Hours is a 50-piece open edition. Token 21 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-21.png","https://afterhours.open/piece/21","100e0c","Parking roof","Clear","Compact car","Sodium lamps","FM 76.8","12:17 AM","Windy","Concrete & amber","Open Edition","Still PNG"
22,"After Hours #22 — Boardwalk Closed","Shutters down, ocean loud. The lights stayed on as a courtesy to nobody. After Hours is a 50-piece open edition. Token 22 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-22.png","https://afterhours.open/piece/22","100e0c","Boardwalk","Rain","Bicycle","Carnival string lights","FM 85.6","11:11 PM","Off-season","Sea teal & carnival pink","Open Edition","Still PNG"
23,"After Hours #23 — Hallway Ice Machine","Patterned carpet going on forever. The ice machine is the hallway's only heartbeat. After Hours is a 50-piece open edition. Token 23 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-23.png","https://afterhours.open/piece/23","100e0c","Hotel hallway","Clear","Ice machine","Flicker fluorescent","AM 1422","2:46 AM","Liminal","Mustard & burgundy","Open Edition","Still PNG"
24,"After Hours #24 — Alley Vending Glow","A row of machines selling cold light. The cat already chose a flavor. After Hours is a 50-piece open edition. Token 24 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-24.png","https://afterhours.open/piece/24","100e0c","Alley","Fog","Stray cat","Vending LEDs","FM 89.1","1:33 AM","Backstreet","Cyan & brick","Open Edition","Still PNG"
25,"After Hours #25 — Window Booth Special","The booth by the rain. Chrome, pie, and a clock that only tells neon. After Hours is a 50-piece open edition. Token 25 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-25.png","https://afterhours.open/piece/25","100e0c","Diner","Rain","Pie under glass","Neon clock","FM 94.7","1:01 AM","Chrome","Cherry red & mint","Open Edition","Still PNG"
26,"After Hours #26 — Channel Snow","Every channel is weather. VHS spines watch the storm from the floor. After Hours is a 50-piece open edition. Token 26 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-26.png","https://afterhours.open/piece/26","100e0c","Bedroom","Rain","CRT television","Cathode snow","AM 720","2:28 AM","Static","Cathode blue & beige","Open Edition","Still PNG"
27,"After Hours #27 — Twelve Plants, One Window","A window that became a forest. The city is only allowed in as speckles. After Hours is a 50-piece open edition. Token 27 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-27.png","https://afterhours.open/piece/27","100e0c","Apartment","Clear","Houseplants","Streetlight through leaves","FM 83.3","11:52 PM","Overgrown","Jungle & dusty pink","Open Edition","Still PNG"
28,"After Hours #28 — Platform 7","Tiles, a yellow line, and a light that might be a train. The bench is practicing patience. After Hours is a 50-piece open edition. Token 28 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-28.png","https://afterhours.open/piece/28","100e0c","Subway","Fog","Empty bench","Approach glow","FM 80.9","12:36 AM","Echo","Tile cream & warning yellow","Open Edition","Still PNG"
29,"After Hours #29 — Unfinished Sketch","A city half-drawn, ink still open. Polaroids of streets that already forgot their names. After Hours is a 50-piece open edition. Token 29 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-29.png","https://afterhours.open/piece/29","100e0c","Studio desk","Clear","Sketchbook","Green glass shade","FM 91.8","1:12 AM","In progress","Ink & lamp green","Open Edition","Still PNG"
30,"After Hours #30 — Dashboard Rain","Engine off, radio not. Rain on the windshield is the music video. After Hours is a 50-piece open edition. Token 30 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-30.png","https://afterhours.open/piece/30","100e0c","Car","Rain","Cassette case","Dashboard glow","FM 88.8","12:04 AM","Parked","Amber & wet asphalt","Open Edition","Still PNG"
31,"After Hours #31 — Shrine After Rain","Lanterns still doing their job. Gravel shining, maple dripping, one umbrella off duty. After Hours is a 50-piece open edition. Token 31 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-31.png","https://afterhours.open/piece/31","100e0c","Shrine","Rain","Leaning umbrella","Stone lanterns","FM 77.1","10:18 PM","Washed","Vermillion & wet stone","Open Edition","Still PNG"
32,"After Hours #32 — Dial-Up Midnight","A whole room of machines dreaming in color. Energy drinks keeping the chairs warm. After Hours is a 50-piece open edition. Token 32 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-32.png","https://afterhours.open/piece/32","100e0c","Internet cafe","Clear","CRT rows","Screensaver glow","AM 1017","2:52 AM","Logged in","Beige plastic & screen blue","Open Edition","Still PNG"
33,"After Hours #33 — Wrapped Bouquets","The shutter is halfway down. Flowers that didn't get adopted wait in paper coats. After Hours is a 50-piece open edition. Token 33 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-33.png","https://afterhours.open/piece/33","100e0c","Flower shop","Rain","Kraft bouquets","Shop warmth","FM 86.9","9:12 PM","Closing bloom","Blush & kraft","Open Edition","Still PNG"
34,"After Hours #34 — Courtyard Frequencies","Laundry, citrus pots, and a radio playing for the whole building whether they asked or not. After Hours is a 50-piece open edition. Token 34 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-34.png","https://afterhours.open/piece/34","100e0c","Courtyard","Rain","Radio","Crisscross string lights","FM 82.2","11:08 PM","Communal quiet","Fairy gold & courtyard teal","Open Edition","Still PNG"
35,"After Hours #35 — Practice Room C","The metronome is still. Sheet music stacked like unsent letters. After Hours is a 50-piece open edition. Token 35 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-35.png","https://afterhours.open/piece/35","100e0c","Practice room","Clear","Upright piano","Window moon","FM 90.0","10:44 PM","Held note","Walnut & cream","Open Edition","Still PNG"
36,"After Hours #36 — Tunnel of Fish","After the last ticket. Fish commute overhead and the floor keeps rewriting light. After Hours is a 50-piece open edition. Token 36 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-36.png","https://afterhours.open/piece/36","100e0c","Aquarium","Clear","Rays","Caustics","AM 1314","8:55 PM","Otherworld","Ocean blue & gold","Open Edition","Still PNG"
37,"After Hours #37 — Polaroid Wall","A wall of nights already developed. The blinds slice the street into film stills. After Hours is a 50-piece open edition. Token 37 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-37.png","https://afterhours.open/piece/37","100e0c","Bedroom","Clear","Polaroids","Fairy lights","FM 79.9","12:29 AM","Remembered","Tungsten & white border","Open Edition","Still PNG"
38,"After Hours #38 — Coin Slot Storm","A glass room built for weather. The receiver dangles like it almost had news. After Hours is a 50-piece open edition. Token 38 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-38.png","https://afterhours.open/piece/38","100e0c","Phone booth","Rain","Hanging receiver","Booth lamp","FM 93.6","1:41 AM","Connected","Booth gold & storm blue","Open Edition","Still PNG"
39,"After Hours #39 — Cabin Glass","Snow pines pressed to the glass. Inside, a stove and a record that knows how to last. After Hours is a 50-piece open edition. Token 39 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-39.png","https://afterhours.open/piece/39","100e0c","Cabin","Snow","Vinyl player","Wood stove","AM 567","9:03 PM","Sheltered","Pine & ember","Open Edition","Still PNG"
40,"After Hours #40 — Gate B12","The terminal practicing emptiness. A plane parked like a sleeping animal beyond the glass. After Hours is a 50-piece open edition. Token 40 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-40.png","https://afterhours.open/piece/40","100e0c","Airport","Clear","Forgotten suitcase","Runway lights","FM 84.4","1:19 AM","Delayed","Terminal grey & runway blue","Open Edition","Still PNG"
41,"After Hours #41 — Awning and Two Wheels","A bike waiting out the weather. The awning does what roofs do, only smaller. After Hours is a 50-piece open edition. Token 41 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-41.png","https://afterhours.open/piece/41","100e0c","Sidewalk","Rain","Locked bicycle","Shop window","FM 81.0","11:23 PM","Passed by","Awning red & puddle neon","Open Edition","Still PNG"
42,"After Hours #42 — Projector Dust","A movie with no actors, only dust. Floor cushions facing a rectangle of warmth. After Hours is a 50-piece open edition. Token 42 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-42.png","https://afterhours.open/piece/42","100e0c","Loft","Clear","Dust motes","Projector beam","FM 92.1","12:47 AM","Cinematic","Gold beam & loft indigo","Open Edition","Still PNG"
43,"After Hours #43 — Striped Pole Neon","Mirrors rehearsing neon. The pole still spinning for a street with no haircuts left. After Hours is a 50-piece open edition. Token 43 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-43.png","https://afterhours.open/piece/43","100e0c","Barbershop","Clear","Lone comb","Barber pole","FM 78.8","10:07 PM","Closed-open","Candy stripe & chrome","Open Edition","Still PNG"
44,"After Hours #44 — Dormitory Desk","Textbooks in a pile that counts as architecture. The lofted bed is a second sky. After Hours is a 50-piece open edition. Token 44 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-44.png","https://afterhours.open/piece/44","100e0c","Dorm","Clear","Instant coffee","Fairy lights","FM 87.6","1:03 AM","Due tomorrow","Dorm navy & muted yellow","Open Edition","Still PNG"
45,"After Hours #45 — Indoor Night Pool","Water holding the lights still. Outside the glass wall, the real weather keeps working. After Hours is a 50-piece open edition. Token 45 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-45.png","https://afterhours.open/piece/45","100e0c","Hotel pool","Rain","Pool noodle","Ceiling cans","FM 85.1","11:39 PM","Chlorine hush","Chlorine blue & hotel gold","Open Edition","Still PNG"
46,"After Hours #46 — On Air, Off Clock","The city through blinds, a board of sliders, and a lamp that means someone is still talking. After Hours is a 50-piece open edition. Token 46 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-46.png","https://afterhours.open/piece/46","100e0c","Radio booth","Clear","Headphones","Dim on-air lamp","FM 95.2","3:33 AM","Broadcast","Broadcast red & walnut","Open Edition","Still PNG"
47,"After Hours #47 — Stall 19 Packing Up","Tarps folding, lanterns lingering. The market turning back into a street. After Hours is a 50-piece open edition. Token 47 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-47.png","https://afterhours.open/piece/47","100e0c","Night market","Rain","Fruit crates","Paper lanterns","AM 1242","10:51 PM","Last sale","Lantern amber & indigo","Open Edition","Still PNG"
48,"After Hours #48 — Last Cat Asleep","Cups empty, cats clocked out. Rain making the window the best seat in the house. After Hours is a 50-piece open edition. Token 48 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-48.png","https://afterhours.open/piece/48","100e0c","Cat cafe","Rain","Sleeping cats","String lights","FM 80.4","9:58 PM","Soft closed","Cream & dusty rose","Open Edition","Still PNG"
49,"After Hours #49 — Observatory Tea","A dome cracked open for the sky. Two cups, one thermos, infinite internight. After Hours is a 50-piece open edition. Token 49 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-49.png","https://afterhours.open/piece/49","100e0c","Observatory","Clear","Telescope","Star slit","FM 76.3","2:09 AM","Looking up","Navy & tea-steam gold","Open Edition","Still PNG"
50,"After Hours #50 — After the Bath","Lockers and leftover steam. Somewhere past the noren, the water is still loud. After Hours is a 50-piece open edition. Token 50 is unlimited: anyone can mint this still. After Hours is a 50-piece open edition of lo-fi rooms. Each piece is its own unlimited ERC-1155: rain on glass, desk lamps, last trains, and the kind of quiet you can mint forever.","piece-50.png","https://afterhours.open/piece/50","100e0c","Sento","Steam","Hanging towel","Warm bulbs","AM 1485","11:56 PM","Rinsed","Hinoki & steam white","Open Edition","Still PNG"
